PERMNO,date,COMNAM,RET,sprtrn
75754,2011-12-30,ISSUER DIRECT CORP,B,0.008533
75754,2012-01-31,ISSUER DIRECT CORP,B,0.043583
75754,2012-02-29,ISSUER DIRECT CORP,B,0.040589
75754,2012-03-30,ISSUER DIRECT CORP,B,0.031332
75754,2012-04-30,ISSUER DIRECT CORP,B,-0.007497
75754,2012-05-31,ISSUER DIRECT CORP,B,-0.062651
75754,2012-06-29,ISSUER DIRECT CORP,B,0.039555
75754,2012-07-31,ISSUER DIRECT CORP,B,0.012598
75754,2012-08-31,ISSUER DIRECT CORP,B,0.019763
75754,2012-09-28,ISSUER DIRECT CORP,B,0.024236
75754,2012-10-31,ISSUER DIRECT CORP,B,-0.019789
75754,2012-11-30,ISSUER DIRECT CORP,B,0.002847
75754,2012-12-31,ISSUER DIRECT CORP,B,0.007068
75754,2013-01-31,ISSUER DIRECT CORP,B,0.050428
75754,2013-02-28,ISSUER DIRECT CORP,B,0.011061
75754,2013-03-28,ISSUER DIRECT CORP,B,0.035988
75754,2013-04-30,ISSUER DIRECT CORP,B,0.018086
75754,2013-05-31,ISSUER DIRECT CORP,B,0.020763
75754,2013-06-28,ISSUER DIRECT CORP,B,-0.014999
75754,2013-07-31,ISSUER DIRECT CORP,B,0.049462
75754,2013-08-30,ISSUER DIRECT CORP,B,-0.031298
75754,2013-09-30,ISSUER DIRECT CORP,B,0.029749
75754,2013-10-31,ISSUER DIRECT CORP,B,0.044596
75754,2013-11-29,ISSUER DIRECT CORP,B,0.028049
75754,2013-12-31,ISSUER DIRECT CORP,B,0.023563
75754,2014-01-31,ISSUER DIRECT CORP,B,-0.035583
75754,2014-02-28,ISSUER DIRECT CORP,B,0.043117
75754,2014-03-31,ISSUER DIRECT CORP,C,0.006932
75754,2014-04-30,ISSUER DIRECT CORP,0.045611,0.006201
75754,2014-05-30,ISSUER DIRECT CORP,-0.164609,0.02103
75754,2014-06-30,ISSUER DIRECT CORP,0.007882,0.019058
75754,2014-07-31,ISSUER DIRECT CORP,-0.149560,-0.01508
75754,2014-08-29,ISSUER DIRECT CORP,0.195402,0.037655
75754,2014-09-30,ISSUER DIRECT CORP,-0.154808,-0.015514
75754,2014-10-31,ISSUER DIRECT CORP,0.082139,0.023201
75754,2014-11-28,ISSUER DIRECT CORP,-0.019123,0.024534
75754,2014-12-31,ISSUER DIRECT CORP,-0.039667,-0.004189
75754,2015-01-30,ISSUER DIRECT CORP,0.121652,-0.031041
75754,2015-02-27,ISSUER DIRECT CORP,0.109453,0.054893
75754,2015-03-31,ISSUER DIRECT CORP,-0.217040,-0.017396
75754,2015-04-30,ISSUER DIRECT CORP,-0.202749,0.008521
75754,2015-05-29,ISSUER DIRECT CORP,0.149425,0.010491
75754,2015-06-30,ISSUER DIRECT CORP,-0.006250,-0.021012
75754,2015-07-31,ISSUER DIRECT CORP,-0.106918,0.019742
75754,2015-08-31,ISSUER DIRECT CORP,-0.157746,-0.062581
75754,2015-09-30,ISSUER DIRECT CORP,0.357860,-0.026443
75754,2015-10-30,ISSUER DIRECT CORP,0.007389,0.082983
75754,2015-11-30,ISSUER DIRECT CORP,-0.263804,0.000505
75754,2015-12-31,ISSUER DIRECT CORP,-0.033333,-0.01753
75754,2016-01-29,ISSUER DIRECT CORP,-0.141379,-0.050735
75754,2016-02-29,ISSUER DIRECT CORP,0.070707,-0.004128
75754,2016-03-31,ISSUER DIRECT CORP,0.047170,0.065991
75754,2016-04-29,ISSUER DIRECT CORP,-0.008108,0.002699
75754,2016-05-31,ISSUER DIRECT CORP,0.150685,0.015329
75754,2016-06-30,ISSUER DIRECT CORP,0.028571,0.000906
75754,2016-07-29,ISSUER DIRECT CORP,0.118827,0.03561
75754,2016-08-31,ISSUER DIRECT CORP,0.017361,-0.001219
75754,2016-09-30,ISSUER DIRECT CORP,-0.034812,-0.001234
75754,2016-10-31,ISSUER DIRECT CORP,0.124470,-0.019426
75754,2016-11-30,ISSUER DIRECT CORP,0.063291,0.034174
75754,2016-12-30,ISSUER DIRECT CORP,0.071429,0.018201
