PERMNO,date,COMNAM,RET,sprtrn
14702,2011-12-30,APPLIED MATERIALS INC,-0.006493,0.008533
14702,2012-01-31,APPLIED MATERIALS INC,0.146125,0.043583
14702,2012-02-29,APPLIED MATERIALS INC,0.004481,0.040589
14702,2012-03-30,APPLIED MATERIALS INC,0.015918,0.031332
14702,2012-04-30,APPLIED MATERIALS INC,-0.036561,-0.007497
14702,2012-05-31,APPLIED MATERIALS INC,-0.130942,-0.062651
14702,2012-06-29,APPLIED MATERIALS INC,0.107938,0.039555
14702,2012-07-31,APPLIED MATERIALS INC,-0.048493,0.012598
14702,2012-08-31,APPLIED MATERIALS INC,0.081726,0.019763
14702,2012-09-28,APPLIED MATERIALS INC,-0.044910,0.024236
14702,2012-10-31,APPLIED MATERIALS INC,-0.050605,-0.019789
14702,2012-11-30,APPLIED MATERIALS INC,0.020755,0.002847
14702,2012-12-31,APPLIED MATERIALS INC,0.066170,0.007068
14702,2013-01-31,APPLIED MATERIALS INC,0.128497,0.050428
14702,2013-02-28,APPLIED MATERIALS INC,0.068552,0.011061
14702,2013-03-28,APPLIED MATERIALS INC,-0.016417,0.035988
14702,2013-04-30,APPLIED MATERIALS INC,0.076410,0.018086
14702,2013-05-31,APPLIED MATERIALS INC,0.054445,0.020763
14702,2013-06-28,APPLIED MATERIALS INC,-0.018421,-0.014999
14702,2013-07-31,APPLIED MATERIALS INC,0.093499,0.049462
14702,2013-08-30,APPLIED MATERIALS INC,-0.073858,-0.031298
14702,2013-09-30,APPLIED MATERIALS INC,0.167955,0.029749
14702,2013-10-31,APPLIED MATERIALS INC,0.018482,0.044596
14702,2013-11-29,APPLIED MATERIALS INC,-0.025483,0.028049
14702,2013-12-31,APPLIED MATERIALS INC,0.021965,0.023563
14702,2014-01-31,APPLIED MATERIALS INC,-0.048643,-0.035583
14702,2014-02-28,APPLIED MATERIALS INC,0.133175,0.043117
14702,2014-03-31,APPLIED MATERIALS INC,0.076741,0.006932
14702,2014-04-30,APPLIED MATERIALS INC,-0.066373,0.006201
14702,2014-05-30,APPLIED MATERIALS INC,0.064533,0.02103
14702,2014-06-30,APPLIED MATERIALS INC,0.116889,0.019058
14702,2014-07-31,APPLIED MATERIALS INC,-0.070510,-0.01508
14702,2014-08-29,APPLIED MATERIALS INC,0.107109,0.037655
14702,2014-09-30,APPLIED MATERIALS INC,-0.064705,-0.015514
14702,2014-10-31,APPLIED MATERIALS INC,0.022212,0.023201
14702,2014-11-28,APPLIED MATERIALS INC,0.093255,0.024534
14702,2014-12-31,APPLIED MATERIALS INC,0.036175,-0.004189
14702,2015-01-30,APPLIED MATERIALS INC,-0.083467,-0.031041
14702,2015-02-27,APPLIED MATERIALS INC,0.101138,0.054893
14702,2015-03-31,APPLIED MATERIALS INC,-0.099401,-0.017396
14702,2015-04-30,APPLIED MATERIALS INC,-0.122784,0.008521
14702,2015-05-29,APPLIED MATERIALS INC,0.022233,0.010491
14702,2015-06-30,APPLIED MATERIALS INC,-0.045206,-0.021012
14702,2015-07-31,APPLIED MATERIALS INC,-0.096774,0.019742
14702,2015-08-31,APPLIED MATERIALS INC,-0.067684,-0.062581
14702,2015-09-30,APPLIED MATERIALS INC,-0.086727,-0.026443
14702,2015-10-30,APPLIED MATERIALS INC,0.141593,0.082983
14702,2015-11-30,APPLIED MATERIALS INC,0.125224,0.000505
14702,2015-12-31,APPLIED MATERIALS INC,-0.005328,-0.01753
14702,2016-01-29,APPLIED MATERIALS INC,-0.054633,-0.050735
14702,2016-02-29,APPLIED MATERIALS INC,0.074788,-0.004128
14702,2016-03-31,APPLIED MATERIALS INC,0.122417,0.065991
14702,2016-04-29,APPLIED MATERIALS INC,-0.033522,0.002699
14702,2016-05-31,APPLIED MATERIALS INC,0.197851,0.015329
14702,2016-06-30,APPLIED MATERIALS INC,-0.018428,0.000906
14702,2016-07-29,APPLIED MATERIALS INC,0.096788,0.03561
14702,2016-08-31,APPLIED MATERIALS INC,0.138836,-0.001219
14702,2016-09-30,APPLIED MATERIALS INC,0.010389,-0.001234
14702,2016-10-31,APPLIED MATERIALS INC,-0.035489,-0.019426
14702,2016-11-30,APPLIED MATERIALS INC,0.110729,0.034174
14702,2016-12-30,APPLIED MATERIALS INC,0.002174,0.018201
14702,2017-01-31,APPLIED MATERIALS INC,0.061357,0.017884
14702,2017-02-28,APPLIED MATERIALS INC,0.060438,0.037198
14702,2017-03-31,APPLIED MATERIALS INC,0.073992,-0.000389
14702,2017-04-28,APPLIED MATERIALS INC,0.043959,0.009091
14702,2017-05-31,APPLIED MATERIALS INC,0.132233,0.011576
14702,2017-06-30,APPLIED MATERIALS INC,-0.099608,0.004814
14702,2017-07-31,APPLIED MATERIALS INC,0.072622,0.019349
14702,2017-08-31,APPLIED MATERIALS INC,0.020537,0.000546
14702,2017-09-29,APPLIED MATERIALS INC,0.154477,0.019303
14702,2017-10-31,APPLIED MATERIALS INC,0.083317,0.022188
14702,2017-11-30,APPLIED MATERIALS INC,-0.063087,0.028083
14702,2017-12-29,APPLIED MATERIALS INC,-0.031268,0.009832
14702,2018-01-31,APPLIED MATERIALS INC,0.049100,0.056179
14702,2018-02-28,APPLIED MATERIALS INC,0.075704,-0.038947
14702,2018-03-29,APPLIED MATERIALS INC,-0.034381,-0.026885
14702,2018-04-30,APPLIED MATERIALS INC,-0.106815,0.002719
14702,2018-05-31,APPLIED MATERIALS INC,0.026374,0.021608
14702,2018-06-29,APPLIED MATERIALS INC,-0.090390,0.004842
14702,2018-07-31,APPLIED MATERIALS INC,0.052825,0.036022
14702,2018-08-31,APPLIED MATERIALS INC,-0.111248,0.030263
14702,2018-09-28,APPLIED MATERIALS INC,-0.101581,0.004294
14702,2018-10-31,APPLIED MATERIALS INC,-0.149288,-0.069403
14702,2018-11-30,APPLIED MATERIALS INC,0.139903,0.017859
14702,2018-12-31,APPLIED MATERIALS INC,-0.121781,-0.091777
14702,2019-01-31,APPLIED MATERIALS INC,0.193647,0.078684
14702,2019-02-28,APPLIED MATERIALS INC,-0.013818,0.029729
14702,2019-03-29,APPLIED MATERIALS INC,0.034429,0.017924
14702,2019-04-30,APPLIED MATERIALS INC,0.111195,0.039313
14702,2019-05-31,APPLIED MATERIALS INC,-0.117313,-0.065778
14702,2019-06-28,APPLIED MATERIALS INC,0.160765,0.06893
14702,2019-07-31,APPLIED MATERIALS INC,0.099310,0.013128
14702,2019-08-30,APPLIED MATERIALS INC,-0.023091,-0.018092
14702,2019-09-30,APPLIED MATERIALS INC,0.039150,0.017181
14702,2019-10-31,APPLIED MATERIALS INC,0.087375,0.020432
14702,2019-11-29,APPLIED MATERIALS INC,0.070955,0.034047
14702,2019-12-31,APPLIED MATERIALS INC,0.054231,0.02859
14702,2020-01-31,APPLIED MATERIALS INC,-0.049967,-0.001628
14702,2020-02-28,APPLIED MATERIALS INC,0.005863,-0.08411
14702,2020-03-31,APPLIED MATERIALS INC,-0.211631,-0.125119
14702,2020-04-30,APPLIED MATERIALS INC,0.084243,0.126844
14702,2020-05-29,APPLIED MATERIALS INC,0.135266,0.045282
14702,2020-06-30,APPLIED MATERIALS INC,0.076006,0.018388
14702,2020-07-31,APPLIED MATERIALS INC,0.064185,0.055101
14702,2020-08-31,APPLIED MATERIALS INC,-0.039018,0.070065
14702,2020-09-30,APPLIED MATERIALS INC,-0.034903,-0.039228
14702,2020-10-30,APPLIED MATERIALS INC,-0.003701,-0.027666
14702,2020-11-30,APPLIED MATERIALS INC,0.396252,0.107546
14702,2020-12-31,APPLIED MATERIALS INC,0.046314,0.037121
14702,2021-01-29,APPLIED MATERIALS INC,0.120278,-0.011137
14702,2021-02-26,APPLIED MATERIALS INC,0.224762,0.026091
14702,2021-03-31,APPLIED MATERIALS INC,0.130383,0.042439
14702,2021-04-30,APPLIED MATERIALS INC,-0.006662,0.052425
14702,2021-05-28,APPLIED MATERIALS INC,0.042649,0.005487
14702,2021-06-30,APPLIED MATERIALS INC,0.030913,0.022214
14702,2021-07-30,APPLIED MATERIALS INC,-0.017346,0.022748
14702,2021-08-31,APPLIED MATERIALS INC,-0.032588,0.02899
14702,2021-09-30,APPLIED MATERIALS INC,-0.047362,-0.047569
14702,2021-10-29,APPLIED MATERIALS INC,0.061524,0.069144
14702,2021-11-30,APPLIED MATERIALS INC,0.078888,-0.008334
14702,2021-12-31,APPLIED MATERIALS INC,0.069094,0.043613
14702,2022-01-31,APPLIED MATERIALS INC,-0.121886,-0.052585
14702,2022-02-28,APPLIED MATERIALS INC,-0.027066,-0.031361
14702,2022-03-31,APPLIED MATERIALS INC,-0.017884,0.035773
14702,2022-04-29,APPLIED MATERIALS INC,-0.162747,-0.087957
14702,2022-05-31,APPLIED MATERIALS INC,0.065247,5.3e-05
14702,2022-06-30,APPLIED MATERIALS INC,-0.224316,-0.08392
14702,2022-07-29,APPLIED MATERIALS INC,0.164871,0.091116
14702,2022-08-31,APPLIED MATERIALS INC,-0.109926,-0.04244
14702,2022-09-30,APPLIED MATERIALS INC,-0.129053,-0.093396
14702,2022-10-31,APPLIED MATERIALS INC,0.077627,0.079863
14702,2022-11-30,APPLIED MATERIALS INC,0.244309,0.053753
14702,2022-12-30,APPLIED MATERIALS INC,-0.111496,-0.058971
