PERMNO,date,COMNAM,RET,sprtrn
89393,2011-12-30,NETFLIX INC,0.073764,0.008533
89393,2012-01-31,NETFLIX INC,0.734738,0.043583
89393,2012-02-29,NETFLIX INC,-0.078785,0.040589
89393,2012-03-30,NETFLIX INC,0.038923,0.031332
89393,2012-04-30,NETFLIX INC,-0.303373,-0.007497
89393,2012-05-31,NETFLIX INC,-0.208385,-0.062651
89393,2012-06-29,NETFLIX INC,0.079524,0.039555
89393,2012-07-31,NETFLIX INC,-0.169891,0.012598
89393,2012-08-31,NETFLIX INC,0.050484,0.019763
89393,2012-09-28,NETFLIX INC,-0.088413,0.024236
89393,2012-10-31,NETFLIX INC,0.455536,-0.019789
89393,2012-11-30,NETFLIX INC,0.031179,0.002847
89393,2012-12-31,NETFLIX INC,0.133154,0.007068
89393,2013-01-31,NETFLIX INC,0.784642,0.050428
89393,2013-02-28,NETFLIX INC,0.138223,0.011061
89393,2013-03-28,NETFLIX INC,0.006380,0.035988
89393,2013-04-30,NETFLIX INC,0.141536,0.018086
89393,2013-05-31,NETFLIX INC,0.047114,0.020763
89393,2013-06-28,NETFLIX INC,-0.067006,-0.014999
89393,2013-07-31,NETFLIX INC,0.158198,0.049462
89393,2013-08-30,NETFLIX INC,0.161262,-0.031298
89393,2013-09-30,NETFLIX INC,0.089113,0.029749
89393,2013-10-31,NETFLIX INC,0.042916,0.044596
89393,2013-11-29,NETFLIX INC,0.134334,0.028049
89393,2013-12-31,NETFLIX INC,0.006479,0.023563
89393,2014-01-31,NETFLIX INC,0.111796,-0.035583
89393,2014-02-28,NETFLIX INC,0.088682,0.043117
89393,2014-03-31,NETFLIX INC,-0.210040,0.006932
89393,2014-04-30,NETFLIX INC,-0.085192,0.006201
89393,2014-05-30,NETFLIX INC,0.297447,0.02103
89393,2014-06-30,NETFLIX INC,0.054496,0.019058
89393,2014-07-31,NETFLIX INC,-0.040581,-0.01508
89393,2014-08-29,NETFLIX INC,0.129921,0.037655
89393,2014-09-30,NETFLIX INC,-0.055397,-0.015514
89393,2014-10-31,NETFLIX INC,-0.129461,0.023201
89393,2014-11-28,NETFLIX INC,-0.117575,0.024534
89393,2014-12-31,NETFLIX INC,-0.014369,-0.004189
89393,2015-01-30,NETFLIX INC,0.293288,-0.031041
89393,2015-02-27,NETFLIX INC,0.074943,0.054893
89393,2015-03-31,NETFLIX INC,-0.122592,-0.017396
89393,2015-04-30,NETFLIX INC,0.335525,0.008521
89393,2015-05-29,NETFLIX INC,0.121402,0.010491
89393,2015-06-30,NETFLIX INC,0.052687,-0.021012
89393,2015-07-31,NETFLIX INC,0.218026,0.019742
89393,2015-08-31,NETFLIX INC,0.006299,-0.062581
89393,2015-09-30,NETFLIX INC,-0.102321,-0.026443
89393,2015-10-30,NETFLIX INC,0.049584,0.082983
89393,2015-11-30,NETFLIX INC,0.137941,0.000505
89393,2015-12-31,NETFLIX INC,-0.072570,-0.01753
89393,2016-01-29,NETFLIX INC,-0.197062,-0.050735
89393,2016-02-29,NETFLIX INC,0.017095,-0.004128
89393,2016-03-31,NETFLIX INC,0.094422,0.065991
89393,2016-04-29,NETFLIX INC,-0.119339,0.002699
89393,2016-05-31,NETFLIX INC,0.139287,0.015329
89393,2016-06-30,NETFLIX INC,-0.108121,0.000906
89393,2016-07-29,NETFLIX INC,-0.002514,0.03561
89393,2016-08-31,NETFLIX INC,0.067945,-0.001219
89393,2016-09-30,NETFLIX INC,0.011288,-0.001234
89393,2016-10-31,NETFLIX INC,0.267073,-0.019426
89393,2016-11-30,NETFLIX INC,-0.063026,0.034174
89393,2016-12-30,NETFLIX INC,0.058120,0.018201
89393,2017-01-31,NETFLIX INC,0.136591,0.017884
89393,2017-02-28,NETFLIX INC,0.010092,0.037198
