PERMNO,date,COMNAM,RET,sprtrn
76201,2011-12-30,XILINX INC,-0.019872,0.008533
76201,2012-01-31,XILINX INC,0.118216,0.043583
76201,2012-02-29,XILINX INC,0.035425,0.040589
76201,2012-03-30,XILINX INC,-0.012185,0.031332
76201,2012-04-30,XILINX INC,-0.002741,-0.007497
76201,2012-05-31,XILINX INC,-0.115173,-0.062651
76201,2012-06-29,XILINX INC,0.050047,0.039555
76201,2012-07-31,XILINX INC,-0.034852,0.012598
76201,2012-08-31,XILINX INC,0.053395,0.019763
76201,2012-09-28,XILINX INC,-0.014745,0.024236
76201,2012-10-31,XILINX INC,-0.019156,-0.019789
76201,2012-11-30,XILINX INC,0.064083,0.002847
76201,2012-12-31,XILINX INC,0.034949,0.007068
76201,2013-01-31,XILINX INC,0.017540,0.050428
76201,2013-02-28,XILINX INC,0.027405,0.011061
76201,2013-03-28,XILINX INC,0.024148,0.035988
76201,2013-04-30,XILINX INC,-0.006812,0.018086
76201,2013-05-31,XILINX INC,0.078871,0.020763
76201,2013-06-28,XILINX INC,-0.025584,-0.014999
76201,2013-07-31,XILINX INC,0.178743,0.049462
76201,2013-08-30,XILINX INC,-0.064682,-0.031298
76201,2013-09-30,XILINX INC,0.079019,0.029749
76201,2013-10-31,XILINX INC,-0.030352,0.044596
76201,2013-11-29,XILINX INC,-0.016487,0.028049
76201,2013-12-31,XILINX INC,0.033536,0.023563
76201,2014-01-31,XILINX INC,0.010889,-0.035583
76201,2014-02-28,XILINX INC,0.129901,0.043117
76201,2014-03-31,XILINX INC,0.039655,0.006932
76201,2014-04-30,XILINX INC,-0.130459,0.006201
76201,2014-05-30,XILINX INC,0.001271,0.02103
76201,2014-06-30,XILINX INC,0.007453,0.019058
76201,2014-07-31,XILINX INC,-0.130628,-0.01508
76201,2014-08-29,XILINX INC,0.034282,0.037655
76201,2014-09-30,XILINX INC,0.002367,-0.015514
76201,2014-10-31,XILINX INC,0.050295,0.023201
76201,2014-11-28,XILINX INC,0.028102,0.024534
76201,2014-12-31,XILINX INC,-0.047315,-0.004189
76201,2015-01-30,XILINX INC,-0.108917,-0.031041
76201,2015-02-27,XILINX INC,0.105898,0.054893
76201,2015-03-31,XILINX INC,-0.001652,-0.017396
76201,2015-04-30,XILINX INC,0.025059,0.008521
76201,2015-05-29,XILINX INC,0.100784,0.010491
76201,2015-06-30,XILINX INC,-0.068747,-0.021012
76201,2015-07-31,XILINX INC,-0.054574,0.019742
76201,2015-08-31,XILINX INC,0.010778,-0.062581
76201,2015-09-30,XILINX INC,0.012175,-0.026443
76201,2015-10-30,XILINX INC,0.123113,0.082983
76201,2015-11-30,XILINX INC,0.049979,0.000505
76201,2015-12-31,XILINX INC,-0.054739,-0.01753
76201,2016-01-29,XILINX INC,0.070258,-0.050735
76201,2016-02-29,XILINX INC,-0.054506,-0.004128
76201,2016-03-31,XILINX INC,0.004447,0.065991
76201,2016-04-29,XILINX INC,-0.091714,0.002699
76201,2016-05-31,XILINX INC,0.107707,0.015329
76201,2016-06-30,XILINX INC,-0.026588,0.000906
76201,2016-07-29,XILINX INC,0.107305,0.03561
76201,2016-08-31,XILINX INC,0.067737,-0.001219
76201,2016-09-30,XILINX INC,0.002398,-0.001234
76201,2016-10-31,XILINX INC,-0.063857,-0.019426
76201,2016-11-30,XILINX INC,0.067623,0.034174
76201,2016-12-30,XILINX INC,0.118377,0.018201
76201,2017-01-31,XILINX INC,-0.035945,0.017884
76201,2017-02-28,XILINX INC,0.016323,0.037198
76201,2017-03-31,XILINX INC,-0.015811,-0.000389
76201,2017-04-28,XILINX INC,0.090171,0.009091
76201,2017-05-31,XILINX INC,0.062589,0.011576
76201,2017-06-30,XILINX INC,-0.035827,0.004814
76201,2017-07-31,XILINX INC,-0.016480,0.019349
76201,2017-08-31,XILINX INC,0.049794,0.000546
76201,2017-09-29,XILINX INC,0.072207,0.019303
76201,2017-10-31,XILINX INC,0.040378,0.022188
76201,2017-11-30,XILINX INC,-0.051974,0.028083
76201,2017-12-29,XILINX INC,-0.030068,0.009832
76201,2018-01-31,XILINX INC,0.083061,0.056179
76201,2018-02-28,XILINX INC,-0.019447,-0.038947
