PERMNO,date,COMNAM,RET,sprtrn
78975,2011-12-30,INTUIT INC,-0.012209,0.008533
78975,2012-01-31,INTUIT INC,0.076060,0.043583
78975,2012-02-29,INTUIT INC,0.024805,0.040589
78975,2012-03-30,INTUIT INC,0.040111,0.031332
78975,2012-04-30,INTUIT INC,-0.033910,-0.007497
78975,2012-05-31,INTUIT INC,-0.030016,-0.062651
78975,2012-06-29,INTUIT INC,0.055486,0.039555
78975,2012-07-31,INTUIT INC,-0.019882,0.012598
78975,2012-08-31,INTUIT INC,0.008962,0.019763
78975,2012-09-28,INTUIT INC,0.005808,0.024236
78975,2012-10-31,INTUIT INC,0.012228,-0.019789
78975,2012-11-30,INTUIT INC,0.008077,0.002847
78975,2012-12-31,INTUIT INC,-0.007254,0.007068
78975,2013-01-31,INTUIT INC,0.051695,0.050428
78975,2013-02-28,INTUIT INC,0.033472,0.011061
78975,2013-03-28,INTUIT INC,0.018490,0.035988
78975,2013-04-30,INTUIT INC,-0.089095,0.018086
78975,2013-05-31,INTUIT INC,-0.020121,0.020763
78975,2013-06-28,INTUIT INC,0.044490,-0.014999
78975,2013-07-31,INTUIT INC,0.049967,0.049462
78975,2013-08-30,INTUIT INC,-0.006101,-0.031298
78975,2013-09-30,INTUIT INC,0.043759,0.029749
78975,2013-10-31,INTUIT INC,0.079777,0.044596
78975,2013-11-29,INTUIT INC,0.039490,0.028049
78975,2013-12-31,INTUIT INC,0.028156,0.023563
78975,2014-01-31,INTUIT INC,-0.037736,-0.035583
78975,2014-02-28,INTUIT INC,0.066894,0.043117
78975,2014-03-31,INTUIT INC,-0.005374,0.006932
78975,2014-04-30,INTUIT INC,-0.023028,0.006201
78975,2014-05-30,INTUIT INC,0.046733,0.02103
78975,2014-06-30,INTUIT INC,0.015639,0.019058
78975,2014-07-31,INTUIT INC,0.020241,-0.01508
78975,2014-08-29,INTUIT INC,0.014761,0.037655
78975,2014-09-30,INTUIT INC,0.053739,-0.015514
78975,2014-10-31,INTUIT INC,0.006960,0.023201
78975,2014-11-28,INTUIT INC,0.066583,0.024534
78975,2014-12-31,INTUIT INC,-0.017897,-0.004189
78975,2015-01-30,INTUIT INC,-0.055538,-0.031041
78975,2015-02-27,INTUIT INC,0.124510,0.054893
78975,2015-03-31,INTUIT INC,-0.006863,-0.017396
78975,2015-04-30,INTUIT INC,0.037335,0.008521
78975,2015-05-29,INTUIT INC,0.038074,0.010491
78975,2015-06-30,INTUIT INC,-0.032453,-0.021012
78975,2015-07-31,INTUIT INC,0.052099,0.019742
78975,2015-08-31,INTUIT INC,-0.189279,-0.062581
78975,2015-09-30,INTUIT INC,0.034985,-0.026443
78975,2015-10-30,INTUIT INC,0.101183,0.082983
78975,2015-11-30,INTUIT INC,0.028431,0.000505
78975,2015-12-31,INTUIT INC,-0.036926,-0.01753
78975,2016-01-29,INTUIT INC,-0.007150,-0.050735
78975,2016-02-29,INTUIT INC,0.011831,-0.004128
78975,2016-03-31,INTUIT INC,0.076262,0.065991
78975,2016-04-29,INTUIT INC,-0.027113,0.002699
78975,2016-05-31,INTUIT INC,0.057191,0.015329
78975,2016-06-30,INTUIT INC,0.046409,0.000906
78975,2016-07-29,INTUIT INC,-0.002867,0.03561
78975,2016-08-31,INTUIT INC,0.004145,-0.001219
78975,2016-09-30,INTUIT INC,-0.012921,-0.001234
78975,2016-10-31,INTUIT INC,-0.008454,-0.019426
78975,2016-11-30,INTUIT INC,0.045429,0.034174
78975,2016-12-30,INTUIT INC,0.008181,0.018201
78975,2017-01-31,INTUIT INC,0.037606,0.017884
78975,2017-02-28,INTUIT INC,0.057851,0.037198
78975,2017-03-31,INTUIT INC,-0.075335,-0.000389
78975,2017-04-28,INTUIT INC,0.082421,0.009091
78975,2017-05-31,INTUIT INC,0.123233,0.011576
78975,2017-06-30,INTUIT INC,-0.055674,0.004814
78975,2017-07-31,INTUIT INC,0.035690,0.019349
78975,2017-08-31,INTUIT INC,0.030901,0.000546
78975,2017-09-29,INTUIT INC,0.004878,0.019303
78975,2017-10-31,INTUIT INC,0.065217,0.022188
78975,2017-11-30,INTUIT INC,0.041054,0.028083
78975,2017-12-29,INTUIT INC,0.003562,0.009832
78975,2018-01-31,INTUIT INC,0.066612,0.056179
78975,2018-02-28,INTUIT INC,-0.006194,-0.038947
78975,2018-03-29,INTUIT INC,0.038895,-0.026885
78975,2018-04-30,INTUIT INC,0.068243,0.002719
78975,2018-05-31,INTUIT INC,0.090968,0.021608
78975,2018-06-29,INTUIT INC,0.013418,0.004842
78975,2018-07-31,INTUIT INC,0.001591,0.036022
78975,2018-08-31,INTUIT INC,0.074569,0.030263
78975,2018-09-28,INTUIT INC,0.036132,0.004294
78975,2018-10-31,INTUIT INC,-0.070053,-0.069403
78975,2018-11-30,INTUIT INC,0.016730,0.017859
78975,2018-12-31,INTUIT INC,-0.082413,-0.091777
78975,2019-01-31,INTUIT INC,0.098755,0.078684
78975,2019-02-28,INTUIT INC,0.145075,0.029729
78975,2019-03-29,INTUIT INC,0.057783,0.017924
78975,2019-04-30,INTUIT INC,-0.037795,0.039313
78975,2019-05-31,INTUIT INC,-0.024735,-0.065778
78975,2019-06-28,INTUIT INC,0.067306,0.06893
78975,2019-07-31,INTUIT INC,0.062947,0.013128
78975,2019-08-30,INTUIT INC,0.039847,-0.018092
78975,2019-09-30,INTUIT INC,-0.077750,0.017181
78975,2019-10-31,INTUIT INC,-0.029744,0.020432
78975,2019-11-29,INTUIT INC,0.005398,0.034047
78975,2019-12-31,INTUIT INC,0.011742,0.02859
78975,2020-01-31,INTUIT INC,0.072462,-0.001628
78975,2020-02-28,INTUIT INC,-0.051823,-0.08411
78975,2020-03-31,INTUIT INC,-0.134851,-0.125119
78975,2020-04-30,INTUIT INC,0.175391,0.126844
78975,2020-05-29,INTUIT INC,0.076016,0.045282
78975,2020-06-30,INTUIT INC,0.020219,0.018388
78975,2020-07-31,INTUIT INC,0.036159,0.055101
78975,2020-08-31,INTUIT INC,0.127362,0.070065
78975,2020-09-30,INTUIT INC,-0.055531,-0.039228
78975,2020-10-30,INTUIT INC,-0.033537,-0.027666
78975,2020-11-30,INTUIT INC,0.118660,0.107546
78975,2020-12-31,INTUIT INC,0.079058,0.037121
78975,2021-01-29,INTUIT INC,-0.047466,-0.011137
78975,2021-02-26,INTUIT INC,0.080032,0.026091
78975,2021-03-31,INTUIT INC,-0.018147,0.042439
78975,2021-04-30,INTUIT INC,0.077507,0.052425
78975,2021-05-28,INTUIT INC,0.065339,0.005487
78975,2021-06-30,INTUIT INC,0.116332,0.022214
78975,2021-07-30,INTUIT INC,0.082400,0.022748
78975,2021-08-31,INTUIT INC,0.068193,0.02899
78975,2021-09-30,INTUIT INC,-0.046987,-0.047569
78975,2021-10-29,INTUIT INC,0.161554,0.069144
78975,2021-11-30,INTUIT INC,0.042029,-0.008334
78975,2021-12-31,INTUIT INC,-0.013920,0.043613
78975,2022-01-31,INTUIT INC,-0.135739,-0.052585
78975,2022-02-28,INTUIT INC,-0.145633,-0.031361
78975,2022-03-31,INTUIT INC,0.013639,0.035773
78975,2022-04-29,INTUIT INC,-0.127714,-0.087957
78975,2022-05-31,INTUIT INC,-0.010245,5.3e-05
78975,2022-06-30,INTUIT INC,-0.070019,-0.08392
78975,2022-07-29,INTUIT INC,0.185269,0.091116
78975,2022-08-31,INTUIT INC,-0.053467,-0.04244
78975,2022-09-30,INTUIT INC,-0.102969,-0.093396
78975,2022-10-31,INTUIT INC,0.105752,0.079863
78975,2022-11-30,INTUIT INC,-0.046573,0.053753
78975,2022-12-30,INTUIT INC,-0.045070,-0.058971
