PERMNO,date,COMNAM,RET,sprtrn
90857,2011-12-30,BAIDU INC,-0.110848,0.008533
90857,2012-01-31,BAIDU INC,0.094874,0.043583
90857,2012-02-29,BAIDU INC,0.071989,0.040589
90857,2012-03-30,BAIDU INC,0.066350,0.031332
90857,2012-04-30,BAIDU INC,-0.089662,-0.007497
90857,2012-05-31,BAIDU INC,-0.112509,-0.062651
90857,2012-06-29,BAIDU INC,-0.023690,0.039555
90857,2012-07-31,BAIDU INC,0.048182,0.012598
90857,2012-08-31,BAIDU INC,-0.075340,0.019763
90857,2012-09-28,BAIDU INC,0.048905,0.024236
90857,2012-10-31,BAIDU INC,-0.086919,-0.019789
90857,2012-11-30,BAIDU INC,-0.097630,0.002847
90857,2012-12-31,BAIDU INC,0.041325,0.007068
90857,2013-01-31,BAIDU INC,0.079868,0.050428
90857,2013-02-28,BAIDU INC,-0.161958,0.011061
90857,2013-03-28,BAIDU INC,-0.033715,0.035988
90857,2013-04-30,BAIDU INC,-0.021095,0.018086
90857,2013-05-31,BAIDU INC,0.125684,0.020763
90857,2013-06-28,BAIDU INC,-0.021089,-0.014999
90857,2013-07-31,BAIDU INC,0.398596,0.049462
90857,2013-08-30,BAIDU INC,0.024337,-0.031298
90857,2013-09-30,BAIDU INC,0.144986,0.029749
90857,2013-10-31,BAIDU INC,0.036210,0.044596
90857,2013-11-29,BAIDU INC,0.035890,0.028049
90857,2013-12-31,BAIDU INC,0.067899,0.023563
90857,2014-01-31,BAIDU INC,-0.120193,-0.035583
90857,2014-02-28,BAIDU INC,0.092204,0.043117
90857,2014-03-31,BAIDU INC,-0.109167,0.006932
90857,2014-04-30,BAIDU INC,0.010376,0.006201
90857,2014-05-30,BAIDU INC,0.077739,0.02103
90857,2014-06-30,BAIDU INC,0.126650,0.019058
90857,2014-07-31,BAIDU INC,0.156523,-0.01508
90857,2014-08-29,BAIDU INC,-0.007082,0.037655
90857,2014-09-30,BAIDU INC,0.017294,-0.015514
90857,2014-10-31,BAIDU INC,0.094121,0.023201
90857,2014-11-28,BAIDU INC,0.026553,0.024534
90857,2014-12-31,BAIDU INC,-0.069928,-0.004189
90857,2015-01-30,BAIDU INC,-0.044085,-0.031041
90857,2015-02-27,BAIDU INC,-0.065024,0.054893
90857,2015-03-31,BAIDU INC,0.022822,-0.017396
90857,2015-04-30,BAIDU INC,-0.038964,0.008521
90857,2015-05-29,BAIDU INC,-0.014380,0.010491
90857,2015-06-30,BAIDU INC,0.008511,-0.021012
90857,2015-07-31,BAIDU INC,-0.132710,0.019742
90857,2015-08-31,BAIDU INC,-0.147168,-0.062581
