PERMNO,date,COMNAM,RET,sprtrn
90319,2011-12-30,GOOGLE INC,0.077596,0.008533
90319,2012-01-31,GOOGLE INC,-0.101858,0.043583
90319,2012-02-29,GOOGLE INC,0.065746,0.040589
90319,2012-03-30,GOOGLE INC,0.037186,0.031332
90319,2012-04-30,GOOGLE INC,-0.056749,-0.007497
90319,2012-05-31,GOOGLE INC,-0.039663,-0.062651
90319,2012-06-29,GOOGLE INC,-0.001360,0.039555
90319,2012-07-31,GOOGLE INC,0.091196,0.012598
90319,2012-08-31,GOOGLE INC,0.082342,0.019763
90319,2012-09-28,GOOGLE INC,0.101315,0.024236
90319,2012-10-31,GOOGLE INC,-0.098346,-0.019789
90319,2012-11-30,GOOGLE INC,0.026565,0.002847
90319,2012-12-31,GOOGLE INC,0.012901,0.007068
90319,2013-01-31,GOOGLE INC,0.068294,0.050428
90319,2013-02-28,GOOGLE INC,0.060223,0.011061
90319,2013-03-28,GOOGLE INC,-0.008752,0.035988
90319,2013-04-30,GOOGLE INC,0.038255,0.018086
90319,2013-05-31,GOOGLE INC,0.056573,0.020763
90319,2013-06-28,GOOGLE INC,0.010505,-0.014999
90319,2013-07-31,GOOGLE INC,0.008383,0.049462
90319,2013-08-30,GOOGLE INC,-0.046015,-0.031298
90319,2013-09-30,GOOGLE INC,0.034254,0.029749
90319,2013-10-31,GOOGLE INC,0.176582,0.044596
90319,2013-11-29,GOOGLE INC,0.028149,0.028049
90319,2013-12-31,GOOGLE INC,0.057683,0.023563
90319,2014-01-31,GOOGLE INC,0.053769,-0.035583
90319,2014-02-28,GOOGLE INC,0.029366,0.043117
90319,2014-03-31,GOOGLE INC,-0.083198,0.006932
90319,2014-04-30,GOOGLE INC,-0.041640,0.006201
90319,2014-05-30,GOOGLE INC,0.068744,0.02103
90319,2014-06-30,GOOGLE INC,0.022776,0.019058
90319,2014-07-31,GOOGLE INC,-0.008757,-0.01508
90319,2014-08-29,GOOGLE INC,0.004849,0.037655
90319,2014-09-30,GOOGLE INC,0.010389,-0.015514
90319,2014-10-31,GOOGLE INC,-0.034908,0.023201
90319,2014-11-28,GOOGLE INC,-0.033089,0.024534
90319,2014-12-31,GOOGLE INC,-0.033547,-0.004189
90319,2015-01-30,GOOGLE INC,0.012984,-0.031041
90319,2015-02-27,GOOGLE INC,0.046656,0.054893
90319,2015-03-31,GOOGLE INC,-0.014095,-0.017396
90319,2015-04-30,GOOGLE INC,-0.010690,0.008521
90319,2015-05-29,GOOGLE INC,-0.006287,0.010491
90319,2015-06-30,GOOGLE INC,-0.009682,-0.021012
90319,2015-07-31,GOOGLE INC,0.217502,0.019742
90319,2015-08-31,GOOGLE INC,-0.014722,-0.062581
90319,2015-09-30,GOOGLE INC,-0.014587,-0.026443
90319,2015-10-30,ALPHABET INC,0.155114,0.082983
90319,2015-11-30,ALPHABET INC,0.034527,0.000505
90319,2015-12-31,ALPHABET INC,0.019873,-0.01753
90319,2016-01-29,ALPHABET INC,-0.021414,-0.050735
90319,2016-02-29,ALPHABET INC,-0.057963,-0.004128
90319,2016-03-31,ALPHABET INC,0.063690,0.065991
