PERMNO,date,COMNAM,RET,sprtrn
17685,2018-03-29,,,-0.026885
17685,2018-04-30,DOCUSIGN INC,C,0.002719
17685,2018-05-31,DOCUSIGN INC,0.289412,0.021608
17685,2018-06-29,DOCUSIGN INC,0.063040,0.004842
17685,2018-07-31,DOCUSIGN INC,0.017941,0.036022
17685,2018-08-31,DOCUSIGN INC,0.158441,0.030263
17685,2018-09-28,DOCUSIGN INC,-0.158072,0.004294
17685,2018-10-31,DOCUSIGN INC,-0.202207,-0.069403
17685,2018-11-30,DOCUSIGN INC,-0.004292,0.017859
17685,2018-12-31,DOCUSIGN INC,-0.040230,-0.091777
17685,2019-01-31,DOCUSIGN INC,0.233782,0.078684
17685,2019-02-28,DOCUSIGN INC,0.115268,0.029729
17685,2019-03-29,DOCUSIGN INC,-0.060018,0.017924
17685,2019-04-30,DOCUSIGN INC,0.093171,0.039313
17685,2019-05-31,DOCUSIGN INC,-0.010764,-0.065778
17685,2019-06-28,DOCUSIGN INC,-0.113272,0.06893
17685,2019-07-31,DOCUSIGN INC,0.040435,0.013128
17685,2019-08-30,DOCUSIGN INC,-0.097254,-0.018092
17685,2019-09-30,DOCUSIGN INC,0.326194,0.017181
17685,2019-10-31,DOCUSIGN INC,0.068960,0.020432
17685,2019-11-29,DOCUSIGN INC,0.075842,0.034047
17685,2019-12-31,DOCUSIGN INC,0.040725,0.02859
17685,2020-01-31,DOCUSIGN INC,0.059371,-0.001628
17685,2020-02-28,DOCUSIGN INC,0.099350,-0.08411
17685,2020-03-31,DOCUSIGN INC,0.070560,-0.125119
17685,2020-04-30,DOCUSIGN INC,0.133658,0.126844
17685,2020-05-29,DOCUSIGN INC,0.334033,0.045282
17685,2020-06-30,DOCUSIGN INC,0.232360,0.018388
17685,2020-07-31,DOCUSIGN INC,0.259102,0.055101
17685,2020-08-31,DOCUSIGN INC,0.028455,0.070065
17685,2020-09-30,DOCUSIGN INC,-0.034798,-0.039228
17685,2020-10-30,DOCUSIGN INC,-0.060351,-0.027666
17685,2020-11-30,DOCUSIGN INC,0.126724,0.107546
17685,2020-12-31,DOCUSIGN INC,-0.024487,0.037121
17685,2021-01-29,DOCUSIGN INC,0.047638,-0.011137
17685,2021-02-26,DOCUSIGN INC,-0.026751,0.026091
17685,2021-03-31,DOCUSIGN INC,-0.106812,0.042439
17685,2021-04-30,DOCUSIGN INC,0.101210,0.052425
17685,2021-05-28,DOCUSIGN INC,-0.095631,0.005487
17685,2021-06-30,DOCUSIGN INC,0.386618,0.022214
17685,2021-07-30,DOCUSIGN INC,0.066066,0.022748
17685,2021-08-31,DOCUSIGN INC,-0.006040,0.02899
17685,2021-09-30,DOCUSIGN INC,-0.131009,-0.047569
17685,2021-10-29,DOCUSIGN INC,0.081032,0.069144
17685,2021-11-30,DOCUSIGN INC,-0.114736,-0.008334
17685,2021-12-31,DOCUSIGN INC,-0.381758,0.043613
17685,2022-01-31,DOCUSIGN INC,-0.174250,-0.052585
17685,2022-02-28,DOCUSIGN INC,-0.058360,-0.031361
17685,2022-03-31,DOCUSIGN INC,-0.095499,0.035773
17685,2022-04-29,DOCUSIGN INC,-0.243839,-0.087957
17685,2022-05-31,DOCUSIGN INC,0.035926,5.3e-05
17685,2022-06-30,DOCUSIGN INC,-0.316172,-0.08392
17685,2022-07-29,DOCUSIGN INC,0.115023,0.091116
17685,2022-08-31,DOCUSIGN INC,-0.090028,-0.04244
17685,2022-09-30,DOCUSIGN INC,-0.081587,-0.093396
17685,2022-10-31,DOCUSIGN INC,-0.096690,0.079863
17685,2022-11-30,DOCUSIGN INC,-0.025466,0.053753
17685,2022-12-30,DOCUSIGN INC,0.177395,-0.058971
