PERMNO,date,COMNAM,RET,sprtrn
15579,2011-12-30,TEXAS INSTRUMENTS INC,-0.032890,0.008533
15579,2012-01-31,TEXAS INSTRUMENTS INC,0.118172,0.043583
15579,2012-02-29,TEXAS INSTRUMENTS INC,0.029957,0.040589
15579,2012-03-30,TEXAS INSTRUMENTS INC,0.007796,0.031332
15579,2012-04-30,TEXAS INSTRUMENTS INC,-0.044630,-0.007497
15579,2012-05-31,TEXAS INSTRUMENTS INC,-0.108328,-0.062651
15579,2012-06-29,TEXAS INSTRUMENTS INC,0.007374,0.039555
15579,2012-07-31,TEXAS INSTRUMENTS INC,-0.044615,0.012598
15579,2012-08-31,TEXAS INSTRUMENTS INC,0.066079,0.019763
15579,2012-09-28,TEXAS INSTRUMENTS INC,-0.051136,0.024236
15579,2012-10-31,TEXAS INSTRUMENTS INC,0.027037,-0.019789
15579,2012-11-30,TEXAS INSTRUMENTS INC,0.049128,0.002847
15579,2012-12-31,TEXAS INSTRUMENTS INC,0.048185,0.007068
15579,2013-01-31,TEXAS INSTRUMENTS INC,0.077695,0.050428
15579,2013-02-28,TEXAS INSTRUMENTS INC,0.040750,0.011061
15579,2013-03-28,TEXAS INSTRUMENTS INC,0.030556,0.035988
15579,2013-04-30,TEXAS INSTRUMENTS INC,0.028467,0.018086
15579,2013-05-31,TEXAS INSTRUMENTS INC,-0.008285,0.020763
15579,2013-06-28,TEXAS INSTRUMENTS INC,-0.029518,-0.014999
15579,2013-07-31,TEXAS INSTRUMENTS INC,0.132281,0.049462
15579,2013-08-30,TEXAS INSTRUMENTS INC,-0.025013,-0.031298
15579,2013-09-30,TEXAS INSTRUMENTS INC,0.054712,0.029749
15579,2013-10-31,TEXAS INSTRUMENTS INC,0.051998,0.044596
15579,2013-11-29,TEXAS INSTRUMENTS INC,0.021742,0.028049
15579,2013-12-31,TEXAS INSTRUMENTS INC,0.021163,0.023563
15579,2014-01-31,TEXAS INSTRUMENTS INC,-0.027556,-0.035583
15579,2014-02-28,TEXAS INSTRUMENTS INC,0.060377,0.043117
15579,2014-03-31,TEXAS INSTRUMENTS INC,0.048932,0.006932
15579,2014-04-30,TEXAS INSTRUMENTS INC,-0.029898,0.006201
15579,2014-05-30,TEXAS INSTRUMENTS INC,0.033663,0.02103
15579,2014-06-30,TEXAS INSTRUMENTS INC,0.017241,0.019058
15579,2014-07-31,TEXAS INSTRUMENTS INC,-0.025947,-0.01508
15579,2014-08-29,TEXAS INSTRUMENTS INC,0.041730,0.037655
15579,2014-09-30,TEXAS INSTRUMENTS INC,-0.010170,-0.015514
15579,2014-10-31,TEXAS INSTRUMENTS INC,0.048438,0.023201
15579,2014-11-28,TEXAS INSTRUMENTS INC,0.095852,0.024534
15579,2014-12-31,TEXAS INSTRUMENTS INC,-0.017549,-0.004189
15579,2015-01-30,TEXAS INSTRUMENTS INC,0.006079,-0.031041
15579,2015-02-27,TEXAS INSTRUMENTS INC,0.100094,0.054893
15579,2015-03-31,TEXAS INSTRUMENTS INC,-0.027466,-0.017396
15579,2015-04-30,TEXAS INSTRUMENTS INC,-0.046079,0.008521
15579,2015-05-29,TEXAS INSTRUMENTS INC,0.031544,0.010491
15579,2015-06-30,TEXAS INSTRUMENTS INC,-0.078863,-0.021012
15579,2015-07-31,TEXAS INSTRUMENTS INC,-0.023102,0.019742
15579,2015-08-31,TEXAS INSTRUMENTS INC,-0.042817,-0.062581
15579,2015-09-30,TEXAS INSTRUMENTS INC,0.035117,-0.026443
15579,2015-10-30,TEXAS INSTRUMENTS INC,0.153069,0.082983
15579,2015-11-30,TEXAS INSTRUMENTS INC,0.024683,0.000505
15579,2015-12-31,TEXAS INSTRUMENTS INC,-0.056951,-0.01753
15579,2016-01-29,TEXAS INSTRUMENTS INC,-0.027367,-0.050735
15579,2016-02-29,TEXAS INSTRUMENTS INC,0.001700,-0.004128
15579,2016-03-31,TEXAS INSTRUMENTS INC,0.082988,0.065991
15579,2016-04-29,TEXAS INSTRUMENTS INC,0.000000,0.002699
15579,2016-05-31,TEXAS INSTRUMENTS INC,0.062412,0.015329
15579,2016-06-30,TEXAS INSTRUMENTS INC,0.033828,0.000906
15579,2016-07-29,TEXAS INSTRUMENTS INC,0.119393,0.03561
15579,2016-08-31,TEXAS INSTRUMENTS INC,-0.003011,-0.001219
15579,2016-09-30,TEXAS INSTRUMENTS INC,0.009203,-0.001234
15579,2016-10-31,TEXAS INSTRUMENTS INC,0.009547,-0.019426
15579,2016-11-30,TEXAS INSTRUMENTS INC,0.050529,0.034174
15579,2016-12-30,TEXAS INSTRUMENTS INC,-0.012985,0.018201
15579,2017-01-31,TEXAS INSTRUMENTS INC,0.042072,0.017884
15579,2017-02-28,TEXAS INSTRUMENTS INC,0.014297,0.037198
15579,2017-03-31,TEXAS INSTRUMENTS INC,0.051423,-0.000389
15579,2017-04-28,TEXAS INSTRUMENTS INC,-0.010924,0.009091
15579,2017-05-31,TEXAS INSTRUMENTS INC,0.041803,0.011576
15579,2017-06-30,TEXAS INSTRUMENTS INC,-0.067402,0.004814
15579,2017-07-31,TEXAS INSTRUMENTS INC,0.064344,0.019349
15579,2017-08-31,TEXAS INSTRUMENTS INC,0.017695,0.000546
15579,2017-09-29,TEXAS INSTRUMENTS INC,0.082347,0.019303
15579,2017-10-31,TEXAS INSTRUMENTS INC,0.085565,0.022188
15579,2017-11-30,TEXAS INSTRUMENTS INC,0.006205,0.028083
15579,2017-12-29,TEXAS INSTRUMENTS INC,0.073492,0.009832
15579,2018-01-31,TEXAS INSTRUMENTS INC,0.056013,0.056179
15579,2018-02-28,TEXAS INSTRUMENTS INC,-0.012036,-0.038947
15579,2018-03-29,TEXAS INSTRUMENTS INC,-0.041163,-0.026885
15579,2018-04-30,TEXAS INSTRUMENTS INC,-0.023679,0.002719
15579,2018-05-31,TEXAS INSTRUMENTS INC,0.109435,0.021608
15579,2018-06-29,TEXAS INSTRUMENTS INC,-0.014833,0.004842
15579,2018-07-31,TEXAS INSTRUMENTS INC,0.015329,0.036022
15579,2018-08-31,TEXAS INSTRUMENTS INC,0.009702,0.030263
15579,2018-09-28,TEXAS INSTRUMENTS INC,-0.045463,0.004294
15579,2018-10-31,TEXAS INSTRUMENTS INC,-0.127598,-0.069403
15579,2018-11-30,TEXAS INSTRUMENTS INC,0.075622,0.017859
15579,2018-12-31,TEXAS INSTRUMENTS INC,-0.053580,-0.091777
15579,2019-01-31,TEXAS INSTRUMENTS INC,0.073545,0.078684
15579,2019-02-28,TEXAS INSTRUMENTS INC,0.050656,0.029729
15579,2019-03-29,TEXAS INSTRUMENTS INC,0.002742,0.017924
15579,2019-04-30,TEXAS INSTRUMENTS INC,0.110870,0.039313
15579,2019-05-31,TEXAS INSTRUMENTS INC,-0.108207,-0.065778
15579,2019-06-28,TEXAS INSTRUMENTS INC,0.100182,0.06893
15579,2019-07-31,TEXAS INSTRUMENTS INC,0.096026,0.013128
15579,2019-08-30,TEXAS INSTRUMENTS INC,-0.010079,-0.018092
15579,2019-09-30,TEXAS INSTRUMENTS INC,0.044364,0.017181
15579,2019-10-31,TEXAS INSTRUMENTS INC,-0.080084,0.020432
15579,2019-11-29,TEXAS INSTRUMENTS INC,0.018815,0.034047
15579,2019-12-31,TEXAS INSTRUMENTS INC,0.067216,0.02859
15579,2020-01-31,TEXAS INSTRUMENTS INC,-0.052537,-0.001628
15579,2020-02-28,TEXAS INSTRUMENTS INC,-0.053958,-0.08411
15579,2020-03-31,TEXAS INSTRUMENTS INC,-0.124496,-0.125119
15579,2020-04-30,TEXAS INSTRUMENTS INC,0.161513,0.126844
15579,2020-05-29,TEXAS INSTRUMENTS INC,0.030757,0.045282
15579,2020-06-30,TEXAS INSTRUMENTS INC,0.069311,0.018388
15579,2020-07-31,TEXAS INSTRUMENTS INC,0.011656,0.055101
15579,2020-08-31,TEXAS INSTRUMENTS INC,0.114465,0.070065
15579,2020-09-30,TEXAS INSTRUMENTS INC,0.004502,-0.039228
15579,2020-10-30,TEXAS INSTRUMENTS INC,0.019749,-0.027666
15579,2020-11-30,TEXAS INSTRUMENTS INC,0.115222,0.107546
15579,2020-12-31,TEXAS INSTRUMENTS INC,0.017860,0.037121
15579,2021-01-29,TEXAS INSTRUMENTS INC,0.015719,-0.011137
15579,2021-02-26,TEXAS INSTRUMENTS INC,0.039713,0.026091
15579,2021-03-31,TEXAS INSTRUMENTS INC,0.097057,0.042439
15579,2021-04-30,TEXAS INSTRUMENTS INC,-0.039473,0.052425
15579,2021-05-28,TEXAS INSTRUMENTS INC,0.051576,0.005487
15579,2021-06-30,TEXAS INSTRUMENTS INC,0.013065,0.022214
15579,2021-07-30,TEXAS INSTRUMENTS INC,-0.003432,0.022748
15579,2021-08-31,TEXAS INSTRUMENTS INC,0.001521,0.02899
15579,2021-09-30,TEXAS INSTRUMENTS INC,0.006810,-0.047569
15579,2021-10-29,TEXAS INSTRUMENTS INC,-0.018626,0.069144
15579,2021-11-30,TEXAS INSTRUMENTS INC,0.026083,-0.008334
15579,2021-12-31,TEXAS INSTRUMENTS INC,-0.020273,0.043613
15579,2022-01-31,TEXAS INSTRUMENTS INC,-0.041545,-0.052585
15579,2022-02-28,TEXAS INSTRUMENTS INC,-0.052928,-0.031361
15579,2022-03-31,TEXAS INSTRUMENTS INC,0.079358,0.035773
15579,2022-04-29,TEXAS INSTRUMENTS INC,-0.072106,-0.087957
15579,2022-05-31,TEXAS INSTRUMENTS INC,0.044993,5.3e-05
15579,2022-06-30,TEXAS INSTRUMENTS INC,-0.130742,-0.08392
15579,2022-07-29,TEXAS INSTRUMENTS INC,0.171754,0.091116
15579,2022-08-31,TEXAS INSTRUMENTS INC,-0.076472,-0.04244
15579,2022-09-30,TEXAS INSTRUMENTS INC,-0.063132,-0.093396
15579,2022-10-31,TEXAS INSTRUMENTS INC,0.045807,0.079863
15579,2022-11-30,TEXAS INSTRUMENTS INC,0.123451,0.053753
15579,2022-12-30,TEXAS INSTRUMENTS INC,-0.084451,-0.058971
