PERMNO,date,COMNAM,RET,sprtrn
93002,2011-12-30,AVAGO TECHNOLOGIES LTD,-0.031417,0.008533
93002,2012-01-31,AVAGO TECHNOLOGIES LTD,0.176022,0.043583
93002,2012-02-29,AVAGO TECHNOLOGIES LTD,0.108132,0.040589
93002,2012-03-30,AVAGO TECHNOLOGIES LTD,0.039617,0.031332
93002,2012-04-30,AVAGO TECHNOLOGIES LTD,-0.115217,-0.007497
93002,2012-05-31,AVAGO TECHNOLOGIES LTD,-0.040023,-0.062651
93002,2012-06-29,AVAGO TECHNOLOGIES LTD,0.089124,0.039555
93002,2012-07-31,AVAGO TECHNOLOGIES LTD,0.027855,0.012598
93002,2012-08-31,AVAGO TECHNOLOGIES LTD,-0.008943,0.019763
93002,2012-09-28,AVAGO TECHNOLOGIES LTD,-0.042248,0.024236
93002,2012-10-31,AVAGO TECHNOLOGIES LTD,-0.052632,-0.019789
93002,2012-11-30,AVAGO TECHNOLOGIES LTD,0.062670,0.002847
93002,2012-12-31,AVAGO TECHNOLOGIES LTD,-0.093424,0.007068
93002,2013-01-31,AVAGO TECHNOLOGIES LTD,0.130145,0.050428
93002,2013-02-28,AVAGO TECHNOLOGIES LTD,-0.043332,0.011061
93002,2013-03-28,AVAGO TECHNOLOGIES LTD,0.054646,0.035988
93002,2013-04-30,AVAGO TECHNOLOGIES LTD,-0.109749,0.018086
93002,2013-05-31,AVAGO TECHNOLOGIES LTD,0.180538,0.020763
93002,2013-06-28,AVAGO TECHNOLOGIES LTD,-0.003711,-0.014999
93002,2013-07-31,AVAGO TECHNOLOGIES LTD,-0.018727,0.049462
93002,2013-08-30,AVAGO TECHNOLOGIES LTD,0.049891,-0.031298
93002,2013-09-30,AVAGO TECHNOLOGIES LTD,0.124643,0.029749
93002,2013-10-31,AVAGO TECHNOLOGIES LTD,0.054550,0.044596
93002,2013-11-29,AVAGO TECHNOLOGIES LTD,-0.015408,0.028049
93002,2013-12-31,AVAGO TECHNOLOGIES LTD,0.187771,0.023563
93002,2014-01-31,AVAGO TECHNOLOGIES LTD,0.033255,-0.035583
93002,2014-02-28,AVAGO TECHNOLOGIES LTD,0.129261,0.043117
93002,2014-03-31,AVAGO TECHNOLOGIES LTD,0.048298,0.006932
93002,2014-04-30,AVAGO TECHNOLOGIES LTD,-0.014128,0.006201
93002,2014-05-30,AVAGO TECHNOLOGIES LTD,0.112913,0.02103
93002,2014-06-30,AVAGO TECHNOLOGIES LTD,0.023914,0.019058
93002,2014-07-31,AVAGO TECHNOLOGIES LTD,-0.037325,-0.01508
93002,2014-08-29,AVAGO TECHNOLOGIES LTD,0.183194,0.037655
93002,2014-09-30,AVAGO TECHNOLOGIES LTD,0.063711,-0.015514
93002,2014-10-31,AVAGO TECHNOLOGIES LTD,-0.008621,0.023201
93002,2014-11-28,AVAGO TECHNOLOGIES LTD,0.082899,0.024534
93002,2014-12-31,AVAGO TECHNOLOGIES LTD,0.080728,-0.004189
93002,2015-01-30,AVAGO TECHNOLOGIES LTD,0.022766,-0.031041
93002,2015-02-27,AVAGO TECHNOLOGIES LTD,0.240474,0.054893
93002,2015-03-31,AVAGO TECHNOLOGIES LTD,-0.002037,-0.017396
93002,2015-04-30,AVAGO TECHNOLOGIES LTD,-0.079540,0.008521
93002,2015-05-29,AVAGO TECHNOLOGIES LTD,0.266855,0.010491
93002,2015-06-30,AVAGO TECHNOLOGIES LTD,-0.099548,-0.021012
93002,2015-07-31,AVAGO TECHNOLOGIES LTD,-0.058602,0.019742
93002,2015-08-31,AVAGO TECHNOLOGIES LTD,0.006633,-0.062581
93002,2015-09-30,AVAGO TECHNOLOGIES LTD,-0.004287,-0.026443
93002,2015-10-30,AVAGO TECHNOLOGIES LTD,-0.015039,0.082983
93002,2015-11-30,AVAGO TECHNOLOGIES LTD,0.059449,0.000505
93002,2015-12-31,AVAGO TECHNOLOGIES LTD,0.116060,-0.01753
93002,2016-01-29,AVAGO TECHNOLOGIES LTD,-0.078815,-0.050735
93002,2016-02-29,BROADCOM LTD,0.001944,-0.004128
93002,2016-03-31,BROADCOM LTD,0.156901,0.065991
93002,2016-04-29,BROADCOM LTD,-0.056634,0.002699
93002,2016-05-31,BROADCOM LTD,0.059074,0.015329
93002,2016-06-30,BROADCOM LTD,0.009977,0.000906
93002,2016-07-29,BROADCOM LTD,0.042342,0.03561
93002,2016-08-31,BROADCOM LTD,0.089147,-0.001219
93002,2016-09-30,BROADCOM LTD,-0.019215,-0.001234
93002,2016-10-31,BROADCOM LTD,-0.012984,-0.019426
93002,2016-11-30,BROADCOM LTD,0.001233,0.034174
93002,2016-12-30,BROADCOM LTD,0.042818,0.018201
93002,2017-01-31,BROADCOM LTD,0.128585,0.017884
93002,2017-02-28,BROADCOM LTD,0.057293,0.037198
